instruction_name,file_name,line_no,is_vector
"  %32 = add nsw i64 %31# %17",,,0
"  %39 = add nsw i64 %22# 2",,,0
"  %50 = add nsw i64 %47# %17",,,0
"  %59 = add nuw nsw i64 %15# 1",,,0
"  %64 = sext i32 %0 to i64",,,0
"  %78 = mul nsw i64 %76# %64",,,0
"  %79 = add nsw i64 %78# %70",,,0
"  %86 = or i64 %76# 1",,,0
"  %87 = mul nsw i64 %86# %64",,,0
"  %88 = add nsw i64 %87# %70",,,0
"  %95 = add nsw i64 %76# 2",,,0
"  %106 = mul nsw i64 %103# %64",,,0
"  %107 = add nsw i64 %106# %70",,,0
"  %116 = add nuw nsw i64 %70# 1",,,0
"  %9 = sext i32 %0 to i64",,,0
"  %17 = mul nsw i64 %15# %9",,,0
"  %24 = add nsw i64 %22# %17",,,0
"  %31 = or i64 %22# 1",,,0
"  %32 = add nsw i64 %31# %17",,,0
"  %39 = add nsw i64 %22# 2",,,0
"  %50 = add nsw i64 %47# %17",,,0
"  %59 = add nuw nsw i64 %15# 1",,,0
"  %64 = sext i32 %0 to i64",,,0
"  %78 = mul nsw i64 %76# %64",,,0
"  %79 = add nsw i64 %78# %70",,,0
"  %86 = or i64 %76# 1",,,0
"  %87 = mul nsw i64 %86# %64",,,0
"  %88 = add nsw i64 %87# %70",,,0
"  %95 = add nsw i64 %76# 2",,,0
"  %106 = mul nsw i64 %103# %64",,,0
"  %107 = add nsw i64 %106# %70",,,0
"  %116 = add nuw nsw i64 %70# 1",,,0
"  %9 = sext i32 %0 to i64",,,0
"  %17 = mul nsw i64 %15# %9",,,0
"  %24 = add nsw i64 %22# %17",,,0
"  %31 = or i64 %22# 1",,,0
"  %32 = add nsw i64 %31# %17",,,0
"  %39 = add nsw i64 %22# 2",,,0
"  %50 = add nsw i64 %47# %17",,,0
"  %59 = add nuw nsw i64 %15# 1",,,0
"  %64 = sext i32 %0 to i64",,,0
"  %78 = mul nsw i64 %76# %64",,,0
"  %79 = add nsw i64 %78# %70",,,0
"  %86 = or i64 %76# 1",,,0
"  %87 = mul nsw i64 %86# %64",,,0
"  %88 = add nsw i64 %87# %70",,,0
"  %95 = add nsw i64 %76# 2",,,0
"  %106 = mul nsw i64 %103# %64",,,0
"  %107 = add nsw i64 %106# %70",,,0
"  %116 = add nuw nsw i64 %70# 1",,,0
"  %9 = sext i32 %0 to i64",,,0
"  %17 = mul nsw i64 %15# %9",,,0
"  %24 = add nsw i64 %22# %17",,,0
"  %31 = or i64 %22# 1",,,0
"  %32 = add nsw i64 %31# %17",,,0
"  %39 = add nsw i64 %22# 2",,,0
"  %50 = add nsw i64 %47# %17",,,0
"  %59 = add nuw nsw i64 %15# 1",,,0
"  %64 = sext i32 %0 to i64",,,0
"  %78 = mul nsw i64 %76# %64",,,0
"  %79 = add nsw i64 %78# %70",,,0
"  %86 = or i64 %76# 1",,,0
"  %87 = mul nsw i64 %86# %64",,,0
"  %88 = add nsw i64 %87# %70",,,0
"  %95 = add nsw i64 %76# 2",,,0
"  %106 = mul nsw i64 %103# %64",,,0
"  %107 = add nsw i64 %106# %70",,,0
"  %116 = add nuw nsw i64 %70# 1",,,0
"  %9 = sext i32 %0 to i64",,,0
"  %17 = mul nsw i64 %15# %9",,,0
"  %24 = add nsw i64 %22# %17",,,0
"  %31 = or i64 %22# 1",,,0
"  %32 = add nsw i64 %31# %17",,,0
"  %39 = add nsw i64 %22# 2",,,0
"  %50 = add nsw i64 %47# %17",,,0
"  %59 = add nuw nsw i64 %15# 1",,,0
"  %64 = sext i32 %0 to i64",,,0
"  %78 = mul nsw i64 %76# %64",,,0
"  %79 = add nsw i64 %78# %70",,,0
"  %86 = or i64 %76# 1",,,0
"  %87 = mul nsw i64 %86# %64",,,0
"  %88 = add nsw i64 %87# %70",,,0
"  %95 = add nsw i64 %76# 2",,,0
"  %106 = mul nsw i64 %103# %64",,,0
"  %107 = add nsw i64 %106# %70",,,0
"  %116 = add nuw nsw i64 %70# 1",,,0
"  %9 = sext i32 %0 to i64",,,0
"  %17 = mul nsw i64 %15# %9",,,0
"  %24 = add nsw i64 %22# %17",,,0
"  %31 = or i64 %22# 1",,,0
"  %32 = add nsw i64 %31# %17",,,0
"  %39 = add nsw i64 %22# 2",,,0
"  %50 = add nsw i64 %47# %17",,,0
"  %59 = add nuw nsw i64 %15# 1",,,0
"  %64 = sext i32 %0 to i64",,,0
"  %78 = mul nsw i64 %76# %64",,,0
"  %79 = add nsw i64 %78# %70",,,0
"  %86 = or i64 %76# 1",,,0
"  %87 = mul nsw i64 %86# %64",,,0
"  %88 = add nsw i64 %87# %70",,,0
"  %95 = add nsw i64 %76# 2",,,0
"  %106 = mul nsw i64 %103# %64",,,0
"  %107 = add nsw i64 %106# %70",,,0
"  %116 = add nuw nsw i64 %70# 1",,,0
"  %9 = sext i32 %0 to i64",,,0
"  %17 = mul nsw i64 %15# %9",,,0
"  %24 = add nsw i64 %22# %17",,,0
"  %31 = or i64 %22# 1",,,0
"  %32 = add nsw i64 %31# %17",,,0
"  %39 = add nsw i64 %22# 2",,,0
"  %50 = add nsw i64 %47# %17",,,0
"  %59 = add nuw nsw i64 %15# 1",,,0
"  %64 = sext i32 %0 to i64",,,0
"  %78 = mul nsw i64 %76# %64",,,0
"  %79 = add nsw i64 %78# %70",,,0
"  %86 = or i64 %76# 1",,,0
"  %87 = mul nsw i64 %86# %64",,,0
"  %88 = add nsw i64 %87# %70",,,0
"  %95 = add nsw i64 %76# 2",,,0
"  %106 = mul nsw i64 %103# %64",,,0
"  %107 = add nsw i64 %106# %70",,,0
"  %116 = add nuw nsw i64 %70# 1",,,0
"  %9 = sext i32 %0 to i64",,,0
"  %17 = mul nsw i64 %15# %9",,,0
"  %24 = add nsw i64 %22# %17",,,0
"  %31 = or i64 %22# 1",,,0
"  %32 = add nsw i64 %31# %17",,,0
"  %39 = add nsw i64 %22# 2",,,0
"  %50 = add nsw i64 %47# %17",,,0
"  %59 = add nuw nsw i64 %15# 1",,,0
"  %64 = sext i32 %0 to i64",,,0
"  %78 = mul nsw i64 %76# %64",,,0
"  %79 = add nsw i64 %78# %70",,,0
"  %86 = or i64 %76# 1",,,0
"  %87 = mul nsw i64 %86# %64",,,0
"  %88 = add nsw i64 %87# %70",,,0
"  %95 = add nsw i64 %76# 2",,,0
"  %106 = mul nsw i64 %103# %64",,,0
"  %107 = add nsw i64 %106# %70",,,0
"  %116 = add nuw nsw i64 %70# 1",,,0
