instruction_name,file_name,line_no,is_vector
"  %relidx_247 = sub i64 %71# %phidx_128",,,0
"  %relidx_243 = sub i64 %68# %phidx_82",,,0
"  %76 = or i64 %68# 1",,,0
"  %77 = mul nsw i64 %76# %57",,,0
"  %78 = add nsw i64 %77# %63",,,0
"  %relidx_249 = sub i64 %78# %71",,,0
"  %relidx_245 = sub i64 %76# %68",,,0
"  %83 = add nsw i64 %68# 2",,,0
"  %94 = mul nsw i64 %91# %57",,,0
"  %95 = add nsw i64 %94# %63",,,0
"  %relidx_253 = sub i64 %95# %phidx_132",,,0
"  %relidx_251 = sub i64 %91# %phidx_86",,,0
"  %102 = add nuw nsw i64 %63# 1",,,0
"  %9 = sext i32 %0 to i64",,,0
"  %relidx_ = sub i64 %15# %phidx_142",,,0
"  %16 = mul nsw i64 %15# %9",,,0
"  %23 = add nsw i64 %21# %16",,,0
"  %relidx_233 = sub i64 %23# %phidx_106",,,0
"  %relidx_229 = sub i64 %21# %phidx_14",,,0
"  %28 = or i64 %21# 1",,,0
"  %29 = add nsw i64 %28# %16",,,0
"  %relidx_235 = sub i64 %29# %23",,,0
"  %relidx_231 = sub i64 %28# %21",,,0
"  %34 = add nsw i64 %21# 2",,,0
"  %45 = add nsw i64 %42# %16",,,0
"  %relidx_239 = sub i64 %45# %phidx_110",,,0
"  %relidx_237 = sub i64 %42# %phidx_18",,,0
"  %52 = add nuw nsw i64 %15# 1",,,0
"  %57 = sext i32 %0 to i64",,,0
"  %relidx_241 = sub i64 %63# %phidx_210",,,0
"  %70 = mul nsw i64 %68# %57",,,0
"  %71 = add nsw i64 %70# %63",,,0
"  %relidx_247 = sub i64 %71# %phidx_128",,,0
"  %relidx_243 = sub i64 %68# %phidx_82",,,0
"  %76 = or i64 %68# 1",,,0
"  %77 = mul nsw i64 %76# %57",,,0
"  %78 = add nsw i64 %77# %63",,,0
"  %relidx_249 = sub i64 %78# %71",,,0
"  %relidx_245 = sub i64 %76# %68",,,0
"  %83 = add nsw i64 %68# 2",,,0
"  %94 = mul nsw i64 %91# %57",,,0
"  %95 = add nsw i64 %94# %63",,,0
"  %relidx_253 = sub i64 %95# %phidx_132",,,0
"  %relidx_251 = sub i64 %91# %phidx_86",,,0
"  %102 = add nuw nsw i64 %63# 1",,,0
"  %9 = sext i32 %0 to i64",,,0
"  %relidx_ = sub i64 %15# %phidx_142",,,0
"  %16 = mul nsw i64 %15# %9",,,0
"  %23 = add nsw i64 %21# %16",,,0
"  %relidx_233 = sub i64 %23# %phidx_106",,,0
"  %relidx_229 = sub i64 %21# %phidx_14",,,0
"  %28 = or i64 %21# 1",,,0
"  %29 = add nsw i64 %28# %16",,,0
"  %relidx_235 = sub i64 %29# %23",,,0
"  %relidx_231 = sub i64 %28# %21",,,0
"  %34 = add nsw i64 %21# 2",,,0
"  %45 = add nsw i64 %42# %16",,,0
"  %relidx_239 = sub i64 %45# %phidx_110",,,0
"  %relidx_237 = sub i64 %42# %phidx_18",,,0
"  %52 = add nuw nsw i64 %15# 1",,,0
"  %57 = sext i32 %0 to i64",,,0
