instruction_name,file_name,line_no,is_vector
"  %83 = getelementptr double# double* %28# i64 %81",,,0
"  %87 = getelementptr double# double* %2# i64 %86",,,0
"  %88 = getelementptr double# double* %31# i64 %86",,,0
"  %15 = getelementptr double# double* %2# i64 %14",,,0
"  %17 = getelementptr double# double* %2# i64 %14",,,0
"  %18 = getelementptr double# double* %2# i64 %14",,,0
"  %22 = getelementptr double# double* %2# i64 %14",,,0
"  %28 = getelementptr double# double* %2# i64 %14",,,0
"  %31 = getelementptr double# double* %2# i64 %14",,,0
"  %150 = getelementptr inbounds double# double* %2# i64 %149",,,0
"  %156 = getelementptr inbounds double# double* %2# i64 %155",,,0
"  %164 = getelementptr inbounds double# double* %2# i64 %163",,,0
"  %170 = getelementptr inbounds double# double* %2# i64 %169",,,0
"  %177 = getelementptr inbounds double# double* %2# i64 %176",,,0
"  %184 = getelementptr inbounds double# double* %2# i64 %183",,,0
"  %190 = getelementptr inbounds double# double* %2# i64 %189",,,0
"  %197 = getelementptr inbounds double# double* %2# i64 %196",,,0
"  %204 = getelementptr inbounds double# double* %2# i64 %203",,,0
"  %221 = getelementptr inbounds double# double* %2# i64 %220",,,0
"  %225 = getelementptr inbounds double# double* %2# i64 %224",,,0
"  %232 = getelementptr inbounds double# double* %2# i64 %231",,,0
"  %236 = getelementptr inbounds double# double* %2# i64 %235",,,0
"  %241 = getelementptr inbounds double# double* %2# i64 %240",,,0
"  %246 = getelementptr inbounds double# double* %2# i64 %245",,,0
"  %250 = getelementptr inbounds double# double* %2# i64 %249",,,0
"  %255 = getelementptr inbounds double# double* %2# i64 %254",,,0
"  %260 = getelementptr inbounds double# double* %2# i64 %259",,,0
